gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or More Races (non-Hispanic),Hispanic or Latino,Source
G0900030500200,Hartford,tract 5002,,2335,11,259,479,5,62,0,20,13,1497,2010 Census - Social Explorer
G0900030500300,Hartford,tract 5003,,2343,12,292,421,5,63,0,3,36,1523,2010 Census - Social Explorer
G0900030500400,Hartford,tract 5004,,1687,10,161,491,4,18,0,4,18,991,2010 Census - Social Explorer
G0900030500500,Hartford,tract 5005,,1477,18,262,322,2,292,0,4,35,560,2010 Census - Social Explorer
G0900030500700,Hartford,tract 5007,,1095,26,289,405,0,1,0,1,0,399,2010 Census - Social Explorer
G0900030500900,Hartford,tract 5009,,2124,1,18,793,1,1,0,6,31,1274,2010 Census - Social Explorer
G0900030501200,Hartford,tract 5012,,2369,1,35,1721,4,13,0,5,43,548,2010 Census - Social Explorer
G0900030501300,Hartford,tract 5013,,1735,1,25,1049,3,3,0,0,23,632,2010 Census - Social Explorer
G0900030501400,Hartford,tract 5014,,2641,1,21,2163,13,2,0,3,33,406,2010 Census - Social Explorer
G0900030501500,Hartford,tract 5015,,3550,2,70,2807,3,4,0,4,83,579,2010 Census - Social Explorer
G0900030501700,Hartford,tract 5017,,1318,2,27,573,5,4,0,0,17,692,2010 Census - Social Explorer
G0900030501800,Hartford,tract 5018,,2863,2,60,1417,6,2,1,11,41,1325,2010 Census - Social Explorer
G0900030502100,Hartford,tract 5021,,1852,56,1033,281,6,220,0,4,35,273,2010 Census - Social Explorer
G0900030502300,Hartford,tract 5023,,5998,31,1874,871,12,114,1,26,89,3011,2010 Census - Social Explorer
G0900030502400,Hartford,tract 5024,,6055,21,1266,855,7,143,3,46,110,3625,2010 Census - Social Explorer
G0900030502500,Hartford,tract 5025,,1828,28,510,238,13,30,0,7,14,1016,2010 Census - Social Explorer
G0900030502600,Hartford,tract 5026,,3838,16,609,770,6,39,0,20,49,2345,2010 Census - Social Explorer
G0900030502700,Hartford,tract 5027,,5240,35,1808,651,8,225,2,22,103,2421,2010 Census - Social Explorer
G0900030502800,Hartford,tract 5028,,3283,5,179,440,7,38,0,12,21,2586,2010 Census - Social Explorer
G0900030502900,Hartford,tract 5029,,2938,13,379,556,12,151,0,25,40,1775,2010 Census - Social Explorer
G0900030503000,Hartford,tract 5030,,3255,7,244,602,6,11,0,8,47,2337,2010 Census - Social Explorer
G0900030503100,Hartford,tract 5031,,4478,19,849,1787,11,398,1,14,101,1317,2010 Census - Social Explorer
G0900030503300,Hartford,tract 5033,,2390,5,110,1305,6,16,5,3,60,885,2010 Census - Social Explorer
G0900030503500,Hartford,tract 5035,,1622,2,26,1193,7,2,0,2,25,367,2010 Census - Social Explorer
G0900030503700,Hartford,tract 5037,,2651,1,39,2373,11,6,0,5,37,180,2010 Census - Social Explorer
G0900030503800,Hartford,tract 5038,,3508,58,2033,774,5,72,0,6,71,547,2010 Census - Social Explorer
G0900030503900,Hartford,tract 5039,,5203,2,83,4739,17,20,2,11,101,230,2010 Census - Social Explorer
G0900030504000,Hartford,tract 5040,,3413,1,40,3133,10,6,0,5,92,127,2010 Census - Social Explorer
G0900030504100,Hartford,tract 5041,,1855,11,197,378,1,59,0,82,17,1121,2010 Census - Social Explorer
G0900030504200,Hartford,tract 5042,,5123,30,1551,1500,20,237,2,35,94,1684,2010 Census - Social Explorer
G0900030504300,Hartford,tract 5043,,2946,17,489,377,11,114,1,125,64,1765,2010 Census - Social Explorer
G0900030504500,Hartford,tract 5045,,3701,8,295,636,1,39,0,31,50,2649,2010 Census - Social Explorer
G0900030504800,Hartford,tract 5048,,4560,20,917,815,15,112,4,49,66,2582,2010 Census - Social Explorer
G0900030504900,Hartford,tract 5049,,4548,9,413,758,3,55,3,67,56,3193,2010 Census - Social Explorer
G0900030510100,East Hartford,tract 5101,,2232,42,942,536,5,175,0,5,45,524,2010 Census - Social Explorer
G0900030510200,East Hartford,tract 5102,,2502,38,961,655,4,103,2,4,45,728,2010 Census - Social Explorer
G0900030510300,East Hartford,tract 5103,,4310,24,1021,1602,4,164,0,14,75,1430,2010 Census - Social Explorer
G0900030510400,East Hartford,tract 5104,,5659,20,1123,2050,21,152,1,15,113,2184,2010 Census - Social Explorer
G0900030510500,East Hartford,tract 5105,,3458,30,1025,705,9,811,0,29,80,799,2010 Census - Social Explorer
G0900030510600,East Hartford,tract 5106,,5007,27,1338,1596,21,206,0,6,120,1720,2010 Census - Social Explorer
G0900030510700,East Hartford,tract 5107,,4961,50,2505,1031,11,153,0,10,115,1136,2010 Census - Social Explorer
G0900030510800,East Hartford,tract 5108,,3143,55,1737,568,6,102,0,9,60,661,2010 Census - Social Explorer
G0900030510900,East Hartford,tract 5109,,3680,68,2510,413,3,98,0,9,44,603,2010 Census - Social Explorer
G0900030511000,East Hartford,tract 5110,,3415,71,2415,413,0,134,1,1,44,407,2010 Census - Social Explorer
G0900030511100,East Hartford,tract 5111,,3592,66,2377,394,7,196,1,23,55,539,2010 Census - Social Explorer
G0900030511200,East Hartford,tract 5112,,3363,32,1081,940,6,145,0,24,53,1114,2010 Census - Social Explorer
G0900030511300,East Hartford,tract 5113,,3509,30,1057,1077,4,228,0,9,95,1039,2010 Census - Social Explorer
G0900030511400,East Hartford,tract 5114,,2421,56,1360,413,0,232,1,19,48,348,2010 Census - Social Explorer
G0900030514101,Manchester,tract 5141.01,,3659,83,3051,144,4,152,0,1,61,246,2010 Census - Social Explorer
G0900030514102,Manchester,tract 5141.02,,7398,47,3500,829,19,2069,9,64,167,741,2010 Census - Social Explorer
G0900030514200,Manchester,tract 5142,,3076,66,2041,497,3,90,0,2,90,353,2010 Census - Social Explorer
G0900030514300,Manchester,tract 5143,,4291,76,3242,395,7,114,0,11,80,442,2010 Census - Social Explorer
G0900030514400,Manchester,tract 5144,,4768,62,2959,708,15,178,2,6,124,776,2010 Census - Social Explorer
G0900030514500,Manchester,tract 5145,,4364,67,2913,393,9,361,0,5,69,614,2010 Census - Social Explorer
G0900030514600,Manchester,tract 5146,,5261,60,3152,778,5,233,0,13,160,920,2010 Census - Social Explorer
G0900030514700,Manchester,tract 5147,,4298,57,2453,720,6,163,2,4,140,810,2010 Census - Social Explorer
G0900030514800,Manchester,tract 5148,,3485,55,1908,652,11,108,0,9,112,685,2010 Census - Social Explorer
G0900030514900,Manchester,tract 5149,,2881,85,2436,123,7,67,2,8,70,168,2010 Census - Social Explorer
G0900030515000,Manchester,tract 5150,,2923,86,2518,110,2,84,2,3,46,158,2010 Census - Social Explorer
G0900030515101,Manchester,tract 5151.01,,2555,77,1963,201,3,81,1,2,33,271,2010 Census - Social Explorer
G0900030515102,Manchester,tract 5151.02,,5866,58,3379,914,11,755,1,5,136,665,2010 Census - Social Explorer
G0900030515200,Manchester,tract 5152,,3416,86,2942,138,1,136,0,5,55,139,2010 Census - Social Explorer
G0900030520100,Glastonbury,tract 5201,,5830,84,4902,115,12,525,0,5,80,191,2010 Census - Social Explorer
G0900030520201,Glastonbury,tract 5202.01,,3739,86,3223,68,1,276,0,6,53,112,2010 Census - Social Explorer
G0900030520202,Glastonbury,tract 5202.02,,4280,87,3738,46,2,279,0,4,53,158,2010 Census - Social Explorer
G0900030520301,Glastonbury,tract 5203.01,,4578,74,3397,243,4,395,0,6,94,439,2010 Census - Social Explorer
